model,play_type,precision,recall,f1-score,support,overall_accuracy
NBM,pass,0.6592398427260813,0.8482585352422908,0.7418990713844948,29056,0.6832310614361896
NBM,run,0.690077582686811,0.4954074653117061,0.5767590011944713,20468,0.6832310614361896
NBM,punt,0.9848828420256992,0.35542825968357883,0.5223491681699739,3666,0.6832310614361896
NBM,field_goal,0.9770710059171598,0.8435504469987228,0.9054146675805347,1566,0.6832310614361896
NBM,macro avg,0.8278178183389377,0.6356611768090746,0.6866054770823686,54756,0.6832310614361896
NBM,weighted avg,0.7016592615752639,0.6832310614361896,0.6701463597512338,54756,0.6832310614361896
GNB,pass,0.9953320447831954,0.939324063876652,0.966517343343308,29056,0.9622507122507122
GNB,run,0.9193915657163676,0.9863201094391245,0.9516805732333946,20468,0.9622507122507122
GNB,punt,0.9579721565537168,0.9948172394980905,0.9760471029037868,3666,0.9622507122507122
GNB,field_goal,0.9942675159235669,0.9968071519795658,0.9955357142857143,1566,0.9622507122507122
GNB,macro avg,0.9667408207442116,0.9793171411983582,0.972445183441551,54756,0.9622507122507122
GNB,weighted avg,0.9644134581811195,0.9622507122507122,0.9624392488301007,54756,0.9622507122507122
LRM,pass,0.9087326120556414,0.8094025330396476,0.8561963011504297,29056,0.8528563079845131
LRM,run,0.7653252621706881,0.877125268712136,0.8174202067112871,20468,0.8528563079845131
LRM,punt,0.9551499348109518,0.9991816693944353,0.9766697773630183,3666,0.8528563079845131
LRM,field_goal,0.9886291850915983,0.9993614303959132,0.993966338520165,1566,0.8528563079845131
LRM,macro avg,0.9044592485322198,0.921267725385533,0.911063155936225,54756,0.8528563079845131
LRM,weighted avg,0.8605191249702088,0.8528563079845131,0.8537077070481575,54756,0.8528563079845131
SVC,pass,0.8904749735314519,0.839447962555066,0.8642089039275781,29056,0.8575681203886332
SVC,run,0.7884851516667425,0.847078366230213,0.8167322231905223,20468,0.8575681203886332
SVC,punt,0.9624277456647399,0.9991816693944353,0.9804603854389722,3666,0.8575681203886332
SVC,field_goal,0.9968152866242038,0.9993614303959132,0.9980867346938775,1566,0.8575681203886332
SVC,macro avg,0.9095507893717846,0.921267357143907,0.9148720618127375,54756,0.8575681203886332
SVC,weighted avg,0.8602094340292423,0.8575681203886332,0.8580740130092265,54756,0.8575681203886332
DT,pass,0.9761554010072288,0.9806236233480177,0.9783844106790283,29056,0.9764409379793996
DT,run,0.9717166748647319,0.9651651358217705,0.9684298249914212,20468,0.9764409379793996
DT,punt,0.9950953678474115,0.9961811238406983,0.9956379498364232,3666,0.9764409379793996
DT,field_goal,0.9993618379068283,1.0,0.999680817108203,1566,0.9764409379793996
DT,macro avg,0.98558232040655,0.9854924707526216,0.9855332506537688,54756,0.9764409379793996
DT,weighted avg,0.9764279437776331,0.9764409379793996,0.9764275691852221,54756,0.9764409379793996
KNN,pass,0.708538875274498,0.766210077092511,0.7362468376407559,29056,0.6986266345240704
KNN,run,0.6155309205521139,0.5534004299394176,0.5828145099048109,20468,0.6986266345240704
KNN,punt,0.9330130016958734,0.9004364429896344,0.9164353137146031,3666,0.6986266345240704
KNN,field_goal,0.9770609318996416,0.8703703703703703,0.9206349206349206,1566,0.6986266345240704
KNN,macro avg,0.8085359323555318,0.7726043300979833,0.7890328954737725,54756,0.6986266345240704
KNN,weighted avg,0.6964806692491854,0.6986266345240704,0.6962305801923714,54756,0.6986266345240704
NBM,pass,0.6537576232172944,0.8502823986913984,0.739180596173969,32401,0.6787213114754098
NBM,run,0.6903141197776806,0.48342517274556107,0.5686360245891098,22866,0.6787213114754098
NBM,punt,0.9864672364672364,0.3424826904055391,0.5084434654919237,4044,0.6787213114754098
NBM,field_goal,0.9798890429958391,0.8365896980461812,0.9025870328968382,1689,0.6787213114754098
NBM,macro avg,0.8276070056145126,0.6281949899721699,0.6797117797879602,61000,0.6787213114754098
NBM,weighted avg,0.6985480247638275,0.6787213114754098,0.6644792902934336,61000,0.6787213114754098
GNB,pass,0.995394888326042,0.933952655782229,0.9636954237126207,32401,0.9594590163934427
GNB,run,0.9131455399061033,0.9867051517536954,0.9485012822129735,22866,0.9594590163934427
GNB,punt,0.957163255592575,0.9945598417408507,0.9755032743148193,4044,0.9594590163934427
GNB,field_goal,0.9958555358200119,0.9958555358200119,0.9958555358200119,1689,0.9594590163934427
GNB,macro avg,0.9653898049111831,0.9777682962741967,0.9708888790151065,61000,0.9594590163934427
GNB,weighted avg,0.9620417032419905,0.9594590163934427,0.9596731308872721,61000,0.9594590163934427
NBM,pass,0.6537576232172944,0.8502823986913984,0.739180596173969,32401,0.6787213114754098
NBM,run,0.6903141197776806,0.48342517274556107,0.5686360245891098,22866,0.6787213114754098
NBM,punt,0.9864672364672364,0.3424826904055391,0.5084434654919237,4044,0.6787213114754098
NBM,field_goal,0.9798890429958391,0.8365896980461812,0.9025870328968382,1689,0.6787213114754098
NBM,macro avg,0.8276070056145126,0.6281949899721699,0.6797117797879602,61000,0.6787213114754098
NBM,weighted avg,0.6985480247638275,0.6787213114754098,0.6644792902934336,61000,0.6787213114754098
GNB,pass,0.995394888326042,0.933952655782229,0.9636954237126207,32401,0.9594590163934427
GNB,run,0.9131455399061033,0.9867051517536954,0.9485012822129735,22866,0.9594590163934427
GNB,punt,0.957163255592575,0.9945598417408507,0.9755032743148193,4044,0.9594590163934427
GNB,field_goal,0.9958555358200119,0.9958555358200119,0.9958555358200119,1689,0.9594590163934427
GNB,macro avg,0.9653898049111831,0.9777682962741967,0.9708888790151065,61000,0.9594590163934427
GNB,weighted avg,0.9620417032419905,0.9594590163934427,0.9596731308872721,61000,0.9594590163934427
LRM,pass,0.9210237141540534,0.80191969383661,0.8573549792120372,32401,0.8555573770491803
LRM,run,0.7626922933661117,0.8954780022741188,0.8237684307927504,22866,0.8555573770491803
LRM,punt,0.9533018867924529,0.9995054401582592,0.975857073877354,4044,0.8555573770491803
LRM,field_goal,0.9917743830787309,0.9994079336885732,0.9955765260984959,1689,0.8555573770491803
LRM,macro avg,0.9071980693478372,0.9240777674893903,0.9131392524951594,61000,0.8555573770491803
LRM,weighted avg,0.8657716574692401,0.8555573770491803,0.8564482357261742,61000,0.8555573770491803
SVC,pass,0.8964389534883721,0.8375358785222679,0.8659869481275829,32401,0.8598360655737705
SVC,run,0.7888101184242327,0.8564243855505992,0.8212278788895412,22866,0.8598360655737705
SVC,punt,0.9603231171299597,0.9995054401582592,0.9795225978432086,4044,0.8598360655737705
SVC,field_goal,0.9970466627288836,0.9994079336885732,0.9982259018332348,1689,0.8598360655737705
SVC,macro avg,0.9106547129428619,0.9232184094799248,0.9162408316733919,61000,0.8598360655737705
SVC,weighted avg,0.8631149048998015,0.8598360655737705,0.8603972576859726,61000,0.8598360655737705
DT,pass,0.9741432256479547,0.9790438566710904,0.9765873932117294,32401,0.9744918032786886
DT,run,0.9697650844021332,0.9622583748797341,0.9659971463066622,22866,0.9744918032786886
DT,punt,0.9933448360857776,0.996538081107814,0.9949388964325392,4044,0.9744918032786886
DT,field_goal,0.9994082840236687,1.0,0.9997040544539805,1689,0.9744918032786886
DT,macro avg,0.9841653575398834,0.9844600781646596,0.9843068726012278,61000,0.9744918032786886
DT,weighted avg,0.9744745931640233,0.9744918032786886,0.9744742937712678,61000,0.9744918032786886
KNN,pass,0.7064820931100836,0.7592049628097898,0.7318952692650996,32401,0.6942295081967214
KNN,run,0.6089888722963533,0.5528732616111257,0.5795759312320917,22866,0.6942295081967214
KNN,punt,0.9295019157088122,0.8998516320474778,0.9144364869958539,4044,0.6942295081967214
KNN,field_goal,0.9741207697412076,0.8691533451746596,0.918648310387985,1689,0.6942295081967214
KNN,macro avg,0.8047734127141142,0.7702708004107632,0.7861389994702574,61000,0.6942295081967214
KNN,weighted avg,0.6921321570493045,0.6942295081967214,0.6920704920109515,61000,0.6942295081967214
NBM,pass,0.6537576232172944,0.8502823986913984,0.739180596173969,32401,0.6787213114754098
NBM,run,0.6903141197776806,0.48342517274556107,0.5686360245891098,22866,0.6787213114754098
NBM,punt,0.9864672364672364,0.3424826904055391,0.5084434654919237,4044,0.6787213114754098
NBM,field_goal,0.9798890429958391,0.8365896980461812,0.9025870328968382,1689,0.6787213114754098
NBM,macro avg,0.8276070056145126,0.6281949899721699,0.6797117797879602,61000,0.6787213114754098
NBM,weighted avg,0.6985480247638275,0.6787213114754098,0.6644792902934336,61000,0.6787213114754098
GNB,pass,0.995394888326042,0.933952655782229,0.9636954237126207,32401,0.9594590163934427
GNB,run,0.9131455399061033,0.9867051517536954,0.9485012822129735,22866,0.9594590163934427
GNB,punt,0.957163255592575,0.9945598417408507,0.9755032743148193,4044,0.9594590163934427
GNB,field_goal,0.9958555358200119,0.9958555358200119,0.9958555358200119,1689,0.9594590163934427
GNB,macro avg,0.9653898049111831,0.9777682962741967,0.9708888790151065,61000,0.9594590163934427
GNB,weighted avg,0.9620417032419905,0.9594590163934427,0.9596731308872721,61000,0.9594590163934427
LRM,pass,0.9210237141540534,0.80191969383661,0.8573549792120372,32401,0.8555573770491803
LRM,run,0.7626922933661117,0.8954780022741188,0.8237684307927504,22866,0.8555573770491803
LRM,punt,0.9533018867924529,0.9995054401582592,0.975857073877354,4044,0.8555573770491803
LRM,field_goal,0.9917743830787309,0.9994079336885732,0.9955765260984959,1689,0.8555573770491803
LRM,macro avg,0.9071980693478372,0.9240777674893903,0.9131392524951594,61000,0.8555573770491803
LRM,weighted avg,0.8657716574692401,0.8555573770491803,0.8564482357261742,61000,0.8555573770491803
SVC,pass,0.8964389534883721,0.8375358785222679,0.8659869481275829,32401,0.8598360655737705
SVC,run,0.7888101184242327,0.8564243855505992,0.8212278788895412,22866,0.8598360655737705
SVC,punt,0.9603231171299597,0.9995054401582592,0.9795225978432086,4044,0.8598360655737705
SVC,field_goal,0.9970466627288836,0.9994079336885732,0.9982259018332348,1689,0.8598360655737705
SVC,macro avg,0.9106547129428619,0.9232184094799248,0.9162408316733919,61000,0.8598360655737705
SVC,weighted avg,0.8631149048998015,0.8598360655737705,0.8603972576859726,61000,0.8598360655737705
DT,pass,0.9741660011058549,0.9787660874664362,0.9764606265876377,32401,0.9741967213114754
DT,run,0.969121663289578,0.9621709087728505,0.9656337780898877,22866,0.9741967213114754
DT,punt,0.9928430404738401,0.994807121661721,0.9938241106719368,4044,0.9741967213114754
DT,field_goal,0.99822695035461,1.0,0.9991126885536824,1689,0.9741967213114754
DT,macro avg,0.9835894138059708,0.9839360294752519,0.983757800975786,61000,0.9741967213114754
DT,weighted avg,0.9741795267120564,0.9741967213114754,0.9741804715802278,61000,0.9741967213114754
KNN,pass,0.7064820931100836,0.7592049628097898,0.7318952692650996,32401,0.6942295081967214
KNN,run,0.6089888722963533,0.5528732616111257,0.5795759312320917,22866,0.6942295081967214
KNN,punt,0.9295019157088122,0.8998516320474778,0.9144364869958539,4044,0.6942295081967214
KNN,field_goal,0.9741207697412076,0.8691533451746596,0.918648310387985,1689,0.6942295081967214
KNN,macro avg,0.8047734127141142,0.7702708004107632,0.7861389994702574,61000,0.6942295081967214
KNN,weighted avg,0.6921321570493045,0.6942295081967214,0.6920704920109515,61000,0.6942295081967214
